clinic_id,name,town,operator,landkreis,regierungsbezirk,status,versorgungsstufe,traegerart,beds,day_places,fachrichtungen,parse_quality,source,website,careers_url,ats_type
18301,InnKlinikum Mühldorf am Inn,Mühldorf,InnKlinikum gKU Altötting und Mühldorf,Landkreis Mühldorf a. Inn,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,275,8,CHI|GUG|HNO|INN|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.innklinikum.de,https://www.innklinikum.de/stellenangebote-uebersicht,
18302,InnKlinikum Haag in OB,Haag in OB,InnKlinikum gKU Altötting und Mühldorf,Landkreis Mühldorf a. Inn,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,20,0,INN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,,
18401,WolfartKlinik,Gräfelfing,WolfartKlinik GmbH,Landkreis München,Oberbayern,Plan-KH,Grundversorgung (I),privat,90,0,CHI|GYN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.wolfartklinik.de,,
18402,kbo-Isar-Amper-Klinikum München-Ost,Haar,kbo-Isar-Amper-Klinikum gGmbH,Landkreis München,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,750,59,NEU|PSO|PSY|SON,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://kbo-iak.de,https://kbo-iak.de/kbo-karriere/stellenangebote-pflege,umantis
18404,Urologische Klinik München-Planegg,Planegg,Medical Team Clinic GmbH,Landkreis München,Oberbayern,Plan-KH,Fachkrankenhaus,privat,65,5,CHI|GYN|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.ukmp.de,https://www.ukmp.de/karriere/stellenangebote.html,
18406,kbo-Heckscher-Klinikum Haar,Haar,kbo-Heckscher-Klinikum gGmbH,Landkreis München,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,20,11,KJP,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://kbo-heckscher-klinikum.de,https://kbo-heckscher-klinikum.de/arbeiten-bei-uns,typo3_jobs
18501,AMEOS Klinikum St. Elisabeth Neuburg,Neuburg/Donau,AMEOS Krankenhausgesellsc haft Neuburg mbH,Landkreis Neuburg-Schrobenhausen,Oberbayern,Plan-KH,Grundversorgung (I),privat,298,23,AUG|CHI|GUG|HNO|INN|KIN|KJP|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.ameos.de,https://karriere.ameos.eu/offene-stellen/,typo3_jobs
18504,Kreiskrankenhaus Schrobenhausen,Schrobenhausen,Kreiskrankenhaus Schrobenhausen GmbH,Landkreis Neuburg-Schrobenhausen,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,130,9,CHI|GYN|INN|URO|HD,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://kkh-sob.de,https://kkh-sob.de/karriere/stellenangebote,
18505,Danuvius Klinik Neuburg a.d. Donau,Neuburg/Donau,Danuvius Klinik GmbH,Landkreis Neuburg-Schrobenhaus en,Oberbayern,Plan-KH,Fachkrankenhaus,privat,40,15,PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,,
18601,Ilmtalklinik Pfaffenhofen,Pfaffenhofen,Ilmtalklinik GmbH,Landkreis Pfaffenhofen a. d. Ilm,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,220,0,CHI|GUG|INN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.ilmtalklinik.de,,
18605,Danuvius Klinik Pfaffenhofen,Pfaffenhofen,Danuvius Klinik GmbH,Landkreis Pfaffenhofen a. d. Ilm,Oberbayern,Plan-KH,Fachkrankenhaus,privat,80,15,PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.danuviusklinik.de,https://www.danuviusklinik.de/karriere/,softgarden
18701,RoMed Klinik Wasserburg am Inn,Wasserburg am Inn,Kliniken der Stadt und des Landkreises Rosenheim GmbH,Landkreis Rosenheim,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,130,0,CHI|GUG|HNO|INN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.romed-kliniken.de,https://romed-jobs.de/de/jobs/,dvinci
18702,RoMed Klinik Bad Aibling,Bad Aibling,Kliniken der Stadt und des Landkreises Rosenheim GmbH,Landkreis Rosenheim,Oberbayern,Plan-KH,Grundversorgung (I),oeffentlich,140,0,CHI|GYN|HNO|INN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.romed-kliniken.de,https://romed-jobs.de/de/jobs/,dvinci
18707,Schön Klinik Vogtareuth,Vogtareuth,Schön Klinik Vogtareuth SE & Co. KG,Landkreis Rosenheim,Oberbayern,Plan-KH,Fachkrankenhaus,privat,240,16,CHI|HCH|KIN|MKG|NCH|NEU,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.schoen-klinik.de,https://jobs.schoen-klinik.de/stellenangebote.html?search_mode=0&search_mode=job_filter_advanced&filter%5Bradius_search_range%5D=10,rexx
18710,Orthopädische Kinderklinik Aschau im Chiemgau,Aschau im Chiemgau,Behandlungszentrum Aschau GmbH,Landkreis Rosenheim,Oberbayern,Plan-KH,Fachkrankenhaus,freigemeinnuetzig,69,0,CHI,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.kiz-chiemgau.de,https://www.kiz-chiemgau.de/stellenangebote,bite
18711,"Klinik Bad Trissl, Oberaudorf",Oberaudorf,Klinik Bad Trissl GmbH,Landkreis Rosenheim,Oberbayern,Plan-KH,Fachkrankenhaus,privat,100,0,GYN|INN,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.klinik-bad-trissl.de,https://www.klinik-bad-trissl.de/karriere/,
